Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2017,5-Sep,Tor,15,7,5,0,1,0,0,0,0,2,1,1,0,0,0,1,0.268,0.331,0.396,0.727
2017,6-Sep,Tor,15.7,4,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0.268,0.331,0.399,0.73
2017,8-Sep,TB,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.266,0.328,0.396,0.724
2017,9-Sep,TB,12.4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0.268,0.33,0.397,0.727
2017,10-Sep,TB,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.266,0.328,0.394,0.722
2017,12-Sep,Oak,24.9,4,3,2,3,1,0,0,1,1,0,0,0,0,0,0,0.27,0.333,0.4,0.733
2017,13-Sep,Oak,9.2,5,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0.27,0.333,0.398,0.731
2017,14-Sep,Oak,12.2,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0.269,0.333,0.396,0.729
2017,15-Sep,@TB,31.4,9,7,2,4,0,0,0,2,1,0,0,0,1,0,0,0.273,0.338,0.398,0.736
2017,16-Sep,@TB,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.271,0.336,0.395,0.731
2017,17-Sep,@TB,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.333,0.392,0.725
2017,18-Sep,@Bal,34.1,6,3,3,1,0,0,1,1,3,0,0,0,0,0,1,0.269,0.337,0.398,0.735
2017,19-Sep,@Bal,3,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.268,0.336,0.396,0.732
2017,20-Sep,@Bal,6,5,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0.267,0.336,0.394,0.73
2017,22-Sep,@Cin,9.2,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0.267,0.337,0.393,0.73
2017,23-Sep,@Cin,18.4,5,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0.268,0.339,0.395,0.734
2017,24-Sep,@Cin,6.2,5,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0.267,0.338,0.393,0.731
2017,25-Sep,Tor,12.4,4,3,2,1,0,0,0,0,1,2,0,0,0,0,0,0.267,0.339,0.393,0.732
2017,26-Sep,Tor,9.2,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0.269,0.34,0.394,0.734
2017,27-Sep,Tor,38.4,5,5,2,3,0,0,1,4,0,1,0,0,0,0,0,0.272,0.342,0.401,0.743
2017,28-Sep,Hou,9.5,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0.274,0.343,0.401,0.744
2017,29-Sep,Hou,6,4,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0.273,0.343,0.402,0.745
2017,30-Sep,Hou,12.2,5,4,1,1,1,0,0,0,1,3,0,0,0,0,0,0.273,0.343,0.403,0.746
2017,1-Oct,Hou,,DNP,,,,,,,,,,,,,,,,,,
2018,29-Mar,@TB,21.4,4,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1.25,2
2018,30-Mar,@TB,15.2,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0.625,0.625,1.125,1.75
2018,31-Mar,@TB,31.2,4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0.667,0.667,1.333,2
2018,1-Apr,@TB,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.471,0.471,0.941,1.412
2018,2-Apr,@Mia,9.2,5,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0.455,0.455,0.818,1.273
2018,3-Apr,@Mia,0,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0.357,0.357,0.643,1
2018,5-Apr,TB,12.5,5,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0.344,0.364,0.625,0.989
2018,7-Apr,TB,48.4,4,3,2,2,1,0,1,6,1,1,0,0,0,0,0,0.371,0.405,0.743,1.148
2018,8-Apr,TB,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.368,0.4,0.711,1.111
2018,10-Apr,NYY,,DNP,,,,,,,,,,,,,,,,,,
2018,11-Apr,NYY,,DNP,,,,,,,,,,,,,,,,,,
2018,12-Apr,NYY,,DNP,,,,,,,,,,,,,,,,,,
2018,13-Apr,Bal,,DNP,,,,,,,,,,,,,,,,,,
2018,14-Apr,Bal,,DNP,,,,,,,,,,,,,,,,,,
